"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'Heer, U riep mij')","[145802, 145826]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'schouder aan schouder')","[457393, 457417]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', 'dat zich alles zal volmaken:')","[1374918, 1374942]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Laat ons juichen, laat ons zingen,')","[334305, 334329, 334403, 334427]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'In Gods overwinning')","[229592, 229616]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', 'Hij haalt de ark en danst en zingt: ')","[1200380, 1200404]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'dan zijn wij klaar voor de strijd.')","[822345, 822369]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', ""als d' ademtocht des HEREN daar over waait,"")","[1223606, 1223630]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', ""maak m'ook van hoogmoed vrij."")","[420545, 420569]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Jezus, wat een heerlijke naam.')","[796375, 796399, 796669, 796693, 797012, 797036, 797159, 797183, 797257, 797281]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'breng mij terug naar U.')","[996834, 996858, 997716, 997740]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Verheug Hem met snarenspel.')","[556569, 556593]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'halleluja, amen.')","[348760, 348784, 349103, 349127, 349446, 349470]"
