"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""The maximum number of extra credit points that a learner may earn.  This value contributes to the totalMaximum.  If extra credit is not supported, this value will be zero."" .')","[31705, 63680]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    ""version"" : {')","[21201, 52772]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '      ""@id"" : ""pm:msgId"",')","[20369, 51908]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  targetNamespace=""http://www.imsglobal.org/imspurl/lti/v2/xsd/ltid#""')","[16339, 47723]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""The date and time when the message was created."" .')","[13713, 44996]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      pm:sourceId;')","[12075, 43295]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  a bind:TargetNamespace ;')","[11607, 16989, 17457, 17925, 21695, 42809, 48398, 48884, 49370, 53285]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment """"""The absolute maximum number of points that a learner may earn including extra credit.')","[31471, 63437]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:NumericLimits rdf:type owl:Class ;')","[25517, 57254]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '      ""@id"" : ""po:totalMaximum"",')","[21123, 52691]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '      ""@id"" : ""po:extraCreditMaximum"",')","[19823, 51341]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '      po:AssignmentResult')","[27051, 58847]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '</p>"""""" .')","[28091, 28429, 59927, 60278]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:range po:AssignmentType ;')","[28793, 60656]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:totalMaximum rdf:type owl:FunctionalProperty ;')","[31393, 63356]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'This value does <em>not</em> take into account the effects of curving.')","[30223, 62141]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '      ""@id"" : ""pm:sourceId"",')","[20707, 52259]"
